subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef,density,assortativity,transitivity,small_world
7,2,0.8744814999170399,0.004400014105193344,0.41693329086860403,0.0014230044931269246,0.74896299983408,-0.07440340361823973,0.8034371800497294,0.8961666165469272
7,3,0.869968475194956,0.004328828105359271,0.4163070753629684,0.0015093845284527996,0.739936950389912,-0.08032663980542311,0.7921499285222828,0.9763720615371089
7,4,0.8639953542392567,0.004651977430894362,0.39392648513943423,0.0017215298491903503,0.7279907084785133,-0.053980418564343984,0.7847558726677211,1.0499209034698327
8,1,0.8726066036170566,0.004119828177700267,0.4017519671842798,0.0016294056751478827,0.7452132072341131,-0.07308783279087235,0.7975770695639279,1.0996630633598836
8,2,0.8656877385100381,0.004186152283391453,0.4104770601394272,0.001355752153201522,0.7313754770200763,-0.06359101110903943,0.7917328897296936,0.9129695727602507
8,3,0.8771859963497595,0.004047109578895057,0.4023346483469853,0.0014713171410195246,0.7543719926995188,-0.0630462133024387,0.8091134132569545,0.99813050104547
8,4,0.8646092583374814,0.004157567706487508,0.4038750435543821,0.0015281858865973299,0.7292185166749626,-0.06161465734392405,0.7848099250906521,1.0400939431744811
9,1,0.8878380620540899,0.004114552089430883,0.44562012440692345,0.001448346050879436,0.7756761241081799,-0.07555780390651141,0.8307696921413977,0.9439245735023551
9,2,0.8903102704496433,0.003893699178363952,0.43100438384186046,0.0014788229258897822,0.7806205408992866,-0.06713262085351993,0.8365868964230593,1.0111630406626488
9,3,0.896797743487639,0.0036692409474033765,0.43098930785391387,0.0014508274609370086,0.7935954869752779,-0.07061079652766437,0.8443946563323896,1.042456971160179
9,4,0.9008130081300812,0.003801080221834973,0.43869948105526385,0.0016668447868884119,0.8016260162601626,-0.06858919910832147,0.851074648261683,1.145541222747284
10,1,0.8791604446656711,0.003980182867595816,0.4153539353822732,0.0015687241014205509,0.7583208893313423,-0.06714998307597614,0.8059154174186229,1.080280835314954
10,2,0.8831093412974946,0.003921252700514365,0.3997253431928267,0.0017914864018761037,0.7662186825949893,-0.08030163531616302,0.8056851297588472,1.2420699587716049
10,3,0.8687406669985067,0.004289781421436889,0.41917542421185433,0.0015718777448880956,0.7374813339970134,-0.06527538774350888,0.7888061224220665,1.0278056861137956
10,4,0.8836734693877552,0.004112763406669984,0.3938123343459259,0.0017388884652147303,0.7673469387755102,-0.07459083279874244,0.8085079003429191,1.149797831219118
