subject,timepoint,global_efficiency,char_path_length,modularity,clustering_coef,density,assortativity,transitivity
13,1,0.8656213704994192,0.004192348591836734,0.43051589821313435,0.0017552653636820142,0.7312427409988386,-0.04303232755301732,0.7872361821495429
13,2,0.864808362369338,0.004217266848515016,0.4398788904730372,0.0014511840120264039,0.729616724738676,-0.0464792688407672,0.7851214910224138
13,3,0.8640285382445662,0.004184992195785631,0.43221349358165223,0.0016702144793876122,0.7280570764891322,-0.03514913186245505,0.7872367255728839
13,4,0.8528621204579393,0.004334566638294342,0.4180989488678838,0.0016388412183609017,0.7057242409158786,-0.036849050758314184,0.7585873619867357
14,1,0.884270781483325,0.004215927192964991,0.38922261909308326,0.001674556874714766,0.7685415629666501,-0.05123563415130938,0.8168704831398269
14,2,0.8852165256346441,0.004006644120126099,0.39608575470988794,0.001714744514888939,0.7704330512692882,-0.059419766991192835,0.8170754054638825
14,3,0.9013605442176871,0.004196471724738676,0.3774432658734862,0.0017474976103784804,0.8027210884353742,-0.07141896018944477,0.8484278413194506
14,4,0.9098058735689397,0.004179065315911731,0.3960199829834201,0.0019980057199039457,0.8196117471378795,-0.060764034812486135,0.8623148180204452
15,1,0.8691720590675295,0.003967440667662187,0.40121725747950243,0.001355070235232255,0.7383441181350588,-0.04754668276203972,0.7826191369246274
15,2,0.8725402356064377,0.0037220448777169407,0.40212249907531106,0.0016145351089849051,0.7450804712128754,-0.06645681807712824,0.7888954763097719
15,3,0.8516011282561805,0.003856221081300813,0.38470008001372935,0.0011544430970350176,0.703202256512361,-0.05941011325521075,0.7466197523738347
16,1,0.8560754383054034,0.004137838491123279,0.4290666946812876,0.0011711762764770723,0.7121619379459101,-0.04358102832386459,0.7740664842097644
16,2,0.8661523145843704,0.004214264914717106,0.42607911801869885,0.001272639291784015,0.7323046291687406,-0.06178246711983646,0.7903507809781712
16,3,0.8555334328853492,0.003946329529616725,0.4288139379854084,0.0012382342165451687,0.7110668657706986,-0.04987936987453184,0.7710401553284438
16,4,0.8667828106852498,0.003991213318400531,0.4282655060479367,0.0012260837257749122,0.7335656213704994,-0.049541851237525816,0.7858031733365356
17,1,0.859465737514518,0.004039396609590178,0.39962409215800015,0.001523891877370891,0.718931475029036,-0.03822938066447836,0.7730728869553225
17,2,0.8427409988385598,0.004375019075825453,0.41204938245619604,0.0014851786270626962,0.6854819976771196,-0.025662836489282123,0.7421342431287831
17,3,0.8348321442398097,0.00423370356495769,0.41444710047902145,0.0014717904443908622,0.6696864111498257,-0.014022325823082483,0.7318851590030174
17,4,0.8570598971295835,0.003882522706985233,0.39917754877715084,0.0015925389371828499,0.714119794259167,-0.04505319468220667,0.7591891008763322
18,1,0.8580332946186604,0.003648687762402522,0.39662071522607023,0.0016363648895726505,0.7160776505724241,-0.047689439664453354,0.7615289012103119
18,2,0.8517338642774183,0.003866311944416791,0.39326415791476277,0.0013500805391498294,0.7034677285548365,-0.046701591384663683,0.7426785819503093
18,3,0.8558486809357889,0.003944717629168741,0.39303175297744153,0.0014940511392195625,0.711697361871578,-0.03850718950295121,0.7554715377644896
18,4,0.8596482495437199,0.003708997608594657,0.39609989127815026,0.0017189899414231814,0.7192964990874399,-0.04934843183058009,0.7677441614505777
19,1,0.8825783972125436,0.003755070379790941,0.4161559839490486,0.0013056530615887395,0.7651567944250871,-0.08868290978312443,0.8046323407422686
19,2,0.8803052928488468,0.003922845549527128,0.4280044323377479,0.0012890181369120649,0.7606105856976937,-0.07055095297249508,0.7979297610815438
19,3,0.8739837398373984,0.0037710298471876555,0.4297161674166269,0.0014571989601332713,0.7479674796747967,-0.06759881174485842,0.7828793335938683
19,4,0.8774348763895802,0.0035957752243238757,0.418795077902037,0.0011306061977797133,0.7548697527791605,-0.08063619329790873,0.7906734870452429
20,1,0.8706985233117638,0.004242949918035507,0.4064627195343115,0.0018021656416314165,0.7413970466235275,-0.06139887049659285,0.7912150935458149
20,2,0.8829268292682927,0.004115379720258835,0.39168889024513975,0.0014846547287087149,0.7658536585365854,-0.0741372478308538,0.8095257123735098
20,3,0.8745810519329683,0.0043667068169902104,0.4045944661974058,0.0018388091653761406,0.7491621038659366,-0.053663946447637875,0.795636058820422
20,4,0.8899286543885847,0.0043955462427409985,0.38507339167059185,0.0014929867578872672,0.7798573087771694,-0.08325511282824918,0.8213118599420197
21,1,0.8553509208561474,0.003744846286875726,0.39211946252690655,0.001685925418386325,0.7107018417122947,-0.05849401210911486,0.7660599764771051
21,2,0.8464410154305625,0.003963213559814169,0.41226051040550565,0.0013138381598576164,0.692882030861125,-0.0817143694726306,0.741633137964163
21,3,0.8643603782976605,0.003938020155798905,0.4040385328982083,0.0015425017484977225,0.7287207565953211,-0.08145343462828422,0.7758740809532025
21,4,0.8624854819976772,0.00399163881499917,0.39899607009671456,0.0015541994474397574,0.7249709639953542,-0.0540494104422102,0.7814320074716604
22,1,0.8572258171561308,0.003958535174216028,0.38671849758808186,0.0018463038636775098,0.7144516343122614,-0.0743819288996832,0.7605409497419795
22,2,0.8448315911730546,0.004044368643769703,0.4109877193024844,0.002033293229574876,0.6896631823461091,-0.05296577878972299,0.7449844085829207
22,3,0.8495105359216858,0.00400997756130745,0.38394064414509915,0.001828955101850942,0.6990210718433715,-0.07023360045083006,0.7568905551576016
22,4,0.8497428239588518,0.0040757282271445166,0.38806381608367996,0.0016755480287798962,0.6994856479177036,-0.05152822051956437,0.7423989928614234
