subject,timepoint,node,degree,strength,eigenvector_centrality,betweenness,local_efficiency,clustering
8,4,106,2143.66820396,2143.66820396,,0.00312256049960968,0.8940725182991972,0.0008754241028876952
8,4,107,1463.28212955,1463.28212955,,0.007326865172298428,0.8940725182991972,0.0008048359800980993
8,4,108,1157.909534845,1157.909534845,,0.0052693208430913355,0.8940725182991972,0.0013001400353814634
8,4,109,992.993656045,992.993656045,,0.005904984944797591,0.8940725182991972,0.0007985691996019626
8,4,110,566.225409525,566.225409525,,0.0036968885915021747,0.8940725182991972,0.0006175486932334975
8,4,111,614.107914405,614.107914405,,0.005035128805620609,0.8940725182991972,0.0005082189617176232
8,4,112,650.360727815,650.360727815,,0.013081298093007695,0.8940725182991972,0.000645834606264755
8,4,113,760.642797095,760.642797095,,0.007393777183004349,0.8940725182991972,0.001134568060678604
8,4,114,610.12482704,610.12482704,,0.004416192706590833,0.8940725182991972,0.0009883736044594947
8,4,115,777.86504863,777.86504863,,0.0019237203077952494,0.8940725182991972,0.0008797689630589371
8,4,116,668.92594004,668.92594004,,0.002960856473737036,0.8940725182991972,0.0009537526766780357
8,4,117,478.220328905,478.220328905,,0.0013716962194713952,0.8940725182991972,0.0010660968464904848
8,4,118,1083.533416975,1083.533416975,,0.002843760455001673,0.8940725182991972,0.0014641422109167778
8,4,119,1120.591272505,1120.591272505,,0.0016560722649715625,0.8940725182991972,0.0008464286006933342
8,4,120,793.9844954,793.9844954,,0.008447641351622617,0.8940725182991972,0.000513785971759181
8,4,121,820.10094598,820.10094598,,0.014519906323185013,0.8940725182991972,0.00038360857611856064
8,4,122,765.9043407,765.9043407,,0.0012713282034125127,0.8940725182991972,0.0003647417725041427
8,4,123,1041.942906855,1041.942906855,,0.0010705921712947475,0.8940725182991972,0.0013760284240018927
8,4,124,1796.36439967,1796.36439967,,0.0004014720642355303,0.8940725182991972,0.002088126308496019
8,4,125,1928.49010331,1928.49010331,,0.0001672800267648043,0.8940725182991972,0.0024194912511644583
8,4,126,1509.32801693,1509.32801693,,0.0007360321177651389,0.8940725182991972,0.0022819401451945327
8,4,127,1775.9935962050001,1775.9935962050001,,0.006791569086651054,0.8940725182991972,0.0016128450913213933
8,4,128,1399.73608587,1399.73608587,,0.013516226162596187,0.8940725182991972,0.0008186105220722771
8,4,129,1143.076046525,1143.076046525,,0.00234192037470726,0.8940725182991972,0.001076471202333229
8,4,130,1749.753684265,1749.753684265,,0.0017731682837069255,0.8940725182991972,0.0017120996659193471
8,4,131,1578.8412848,1578.8412848,,0.002877216460354634,0.8940725182991972,0.001482009302020232
8,4,132,1567.11287011,1567.11287011,,0.001906992305118769,0.8940725182991972,0.0013285716408246004
8,4,133,3398.003724,3398.003724,,0.00428236868517899,0.8940725182991972,0.0022315347035670166
8,4,134,3550.43286299,3550.43286299,,0.005241440838630534,0.8940725182991972,0.0021457355727986915
8,4,135,2080.468495725,2080.468495725,,0.0008364001338240215,0.8940725182991972,0.000983110715194314
8,4,136,2162.42402757,2162.42402757,,0.002877216460354634,0.8940725182991972,0.001164465175922721
8,4,137,2454.39158911,2454.39158911,,0.005637336901973905,0.8940725182991972,0.0008305949438200114
8,4,138,2208.148203025,2208.148203025,,0.0014720642355302777,0.8940725182991972,0.0007235078183600897
8,4,139,1994.8756945,1994.8756945,,0.00625627300100368,0.8940725182991972,0.0004371763122357793
8,4,140,1903.079627365,1903.079627365,,0.009601873536299767,0.8940725182991972,0.0007139349115958477
8,4,141,2381.2319480700003,2381.2319480700003,,0.013374038139846103,0.8940725182991972,0.0009537161634286419
8,4,142,2030.718167405,2030.718167405,,0.008146537303445969,0.8940725182991972,0.0009336168615931485
8,4,143,960.80515726,960.80515726,,0.004918032786885246,0.8940725182991972,0.0003220386875466943
8,4,144,1140.161059645,1140.161059645,,0.0023698003791680607,0.8940725182991972,0.0005113408307853782
8,4,145,1198.750882625,1198.750882625,,0.0005799040927846549,0.8940725182991972,0.0012307797024020798
8,4,146,1269.09927025,1269.09927025,,0.00030110404817664774,0.8940725182991972,0.002176637715104335
8,4,147,1179.11700764,1179.11700764,,0.001438608230177317,0.8940725182991972,0.0019557759964367477
8,4,148,972.001499545,972.001499545,,0.0001672800267648043,0.8940725182991972,0.0013641662492386171
8,4,149,3129.02952621,3129.02952621,,0.002258280361324858,0.8940725182991972,0.003186531012015201
8,4,150,5477.74203714,5477.74203714,,0.0008364001338240215,0.8940725182991972,0.0047889484076561965
8,4,151,3386.78341666,3386.78341666,,0.0021244563399130147,0.8940725182991972,0.0033482103296395933
8,4,152,779.446307565,779.446307565,,0.00030110404817664774,0.8940725182991972,0.0012536054783551791
8,4,153,1347.05310302,1347.05310302,,0.0004014720642355303,0.8940725182991972,0.0011439937908765572
8,4,154,1488.41027957,1488.41027957,,0.0018568082970893277,0.8940725182991972,0.0007247116526631245
8,4,155,1391.094544195,1391.094544195,,0.004984944797591168,0.8940725182991972,0.0004310327746712687
8,4,156,970.277238435,970.277238435,,0.0027768484442957514,0.8940725182991972,0.0004530078796147626
8,4,157,1166.8404011,1166.8404011,,0.00234192037470726,0.8940725182991972,0.0003965137365287666
8,4,158,1692.368250215,1692.368250215,,0.019220475075276012,0.8940725182991972,0.0006984053148354052
8,4,159,1979.429528245,1979.429528245,,0.0029943124790899967,0.8940725182991972,0.0011152885081192796
8,4,160,1895.508085085,1895.508085085,,0.0020910003345600537,0.8940725182991972,0.001340804549678781
8,4,161,1095.26696309,1095.26696309,,0.0033288725326196056,0.8940725182991972,0.0009900746649205729
8,4,162,851.628951335,851.628951335,,0.005871528939444631,0.8940725182991972,0.0009912252803241175
8,4,163,973.053693145,973.053693145,,0.007427233188357311,0.8940725182991972,0.001105638167607438
8,4,164,703.49799423,703.49799423,,0.0008364001338240215,0.8940725182991972,0.0007293924970218883
8,4,165,521.57850627,521.57850627,,0.00020073603211776515,0.8940725182991972,0.0005441212054923246
8,4,166,418.66596444,418.66596444,,0.00036801605888256943,0.8940725182991972,0.0003765585238189584
8,4,167,1408.19062441,1408.19062441,,0.01480428236868518,0.8940725182991972,0.001020144017423555
8,4,168,2001.380198585,2001.380198585,,0.023541875766700127,0.8940725182991972,0.0015522721257543136
8,4,169,991.50737429,991.50737429,,0.019895171183227388,0.8940725182991972,0.0009370664213967352
8,4,170,357.42523557,357.42523557,,0.0062395449983272,0.8940725182991972,0.00031905059183605356
8,4,171,575.006282785,575.006282785,,0.00312813650050184,0.8940725182991972,0.0004974735967897504
8,4,172,679.22144517,679.22144517,,0.005620608899297424,0.8940725182991972,0.000583576674438841
8,4,173,367.96933199,367.96933199,,0.005386416861826698,0.8940725182991972,0.0005414542356325214
8,4,174,301.438493535,301.438493535,,0.0,0.8940725182991972,0.0012832879389586616
8,4,175,470.94135723,470.94135723,,0.0020910003345600537,0.8940725182991972,0.0010873300429521766
8,4,176,768.51659621,768.51659621,,0.003747072599531616,0.8940725182991972,0.0012591501309815053
8,4,177,1007.85078452,1007.85078452,,0.004115088658414185,0.8940725182991972,0.001401626103795316
8,4,178,597.0913976850001,597.0913976850001,,0.0017731682837069255,0.8940725182991972,0.0016252487079976407
8,4,179,726.612693415,726.612693415,,0.0005018400802944129,0.8940725182991972,0.001870319731914151
8,4,180,1497.5173651750001,1497.5173651750001,,0.01405152224824356,0.8940725182991972,0.0025616791876598767
8,4,181,1317.38437294,1317.38437294,,0.005620608899297424,0.8940725182991972,0.0022472130381842514
8,4,182,390.721052855,390.721052855,,0.007761793241886919,0.8940725182991972,0.001621836660677572
8,4,183,364.203742925,364.203742925,,0.00117096018735363,0.8940725182991972,0.0017134271216698404
8,4,184,483.33684435,483.33684435,,0.001672800267648043,0.8940725182991972,0.001348646900214534
8,4,185,564.616748885,564.616748885,,0.003077952492472399,0.8940725182991972,0.0013295947556475295
8,4,186,477.617289735,477.617289735,,0.0023084643693542994,0.8940725182991972,0.0013782743875260166
